match_date,group,team,opponent,player,position,minutes,goals,assists,shots,xg,xa,key_passes,rating,big_chances,source,source_url,quality_flag
2026-06-12,A,Czechia,South Korea,Adam HLOZEK,MF,26,0,0,2,0.18,0.03,0,6.1,,FotMob/Opta,https://www.fotmob.com/en-GB/matches/south-korea-vs-czechia/273opa,ok
2026-06-12,A,Czechia,South Korea,Michal SADÍLEK,MF,26,0,0,2,0.15,0.01,0,6,,FotMob/Opta,https://www.fotmob.com/en-GB/matches/south-korea-vs-czechia/273opa,ok
2026-06-12,A,Czechia,South Korea,Mojmír CHYTIL,FW,6,0,0,,,0.06,1,,,FotMob/Opta,https://www.fotmob.com/en-GB/matches/south-korea-vs-czechia/273opa,ok
2026-06-13,B,Canada,Bosnia and Herzegovina,Maxime CRÉPEAU,GK,90,0,0,,,,,7.5,,FotMob/Opta,https://www.fotmob.com/en-GB/matches/canada-vs-bosnia-herzegovina/23f1qo,ok
2026-06-13,B,Canada,Bosnia and Herzegovina,Alistair JOHNSTON,DF,90,0,0,1,0.06,0.05,1,7.2,,FotMob/Opta,https://www.fotmob.com/en-GB/matches/canada-vs-bosnia-herzegovina/23f1qo,ok
2026-06-13,B,Canada,Bosnia and Herzegovina,Luc DE FOUGEROLLES,DF,90,0,0,,,0.01,0,7.1,,FotMob/Opta,https://www.fotmob.com/en-GB/matches/canada-vs-bosnia-herzegovina/23f1qo,ok
2026-06-13,B,Canada,Bosnia and Herzegovina,Derek CORNELIUS,DF,90,0,0,1,0.06,0.01,0,7.4,,FotMob/Opta,https://www.fotmob.com/en-GB/matches/canada-vs-bosnia-herzegovina/23f1qo,ok
2026-06-13,B,Canada,Bosnia and Herzegovina,Richie LARYEA,DF,90,0,0,1,0.26,0.43,2,8.2,,FotMob/Opta,https://www.fotmob.com/en-GB/matches/canada-vs-bosnia-herzegovina/23f1qo,ok
2026-06-13,B,Canada,Bosnia and Herzegovina,Tajon BUCHANAN,MF,61,0,0,,,0.01,0,5.7,,FotMob/Opta,https://www.fotmob.com/en-GB/matches/canada-vs-bosnia-herzegovina/23f1qo,ok
2026-06-13,B,Canada,Bosnia and Herzegovina,Ismaël KONÉ,MF,90,0,0,1,0.02,0.06,0,6,,FotMob/Opta,https://www.fotmob.com/en-GB/matches/canada-vs-bosnia-herzegovina/23f1qo,ok
2026-06-13,B,Canada,Bosnia and Herzegovina,Stephen EUSTAQUIO,MF,89,0,0,1,0.02,0.41,3,7.5,1,FotMob/Opta,https://www.fotmob.com/en-GB/matches/canada-vs-bosnia-herzegovina/23f1qo,ok
2026-06-13,B,Canada,Bosnia and Herzegovina,Liam MILLAR,FW,61,0,0,,,0.08,1,6.8,,FotMob/Opta,https://www.fotmob.com/en-GB/matches/canada-vs-bosnia-herzegovina/23f1qo,ok
2026-06-13,B,Canada,Bosnia and Herzegovina,Jonathan DAVID,FW,61,0,0,3,0.39,,0,6.6,,FotMob/Opta,https://www.fotmob.com/en-GB/matches/canada-vs-bosnia-herzegovina/23f1qo,ok
2026-06-13,B,Canada,Bosnia and Herzegovina,Tani OLUWASEYI,FW,76,0,0,2,0.18,,2,6.6,,FotMob/Opta,https://www.fotmob.com/en-GB/matches/canada-vs-bosnia-herzegovina/23f1qo,ok
2026-06-13,B,Canada,Bosnia and Herzegovina,Ali AHMED,FW,29,0,0,,,0.02,0,6.2,,FotMob/Opta,https://www.fotmob.com/en-GB/matches/canada-vs-bosnia-herzegovina/23f1qo,ok
2026-06-13,B,Canada,Bosnia and Herzegovina,Jacob SHAFFELBURG,FW,29,0,0,,,0.14,1,6.1,,FotMob/Opta,https://www.fotmob.com/en-GB/matches/canada-vs-bosnia-herzegovina/23f1qo,ok
2026-06-13,B,Canada,Bosnia and Herzegovina,Promise DAVID,FW,29,0,1,1,0.04,0.05,1,6.6,,FotMob/Opta,https://www.fotmob.com/en-GB/matches/canada-vs-bosnia-herzegovina/23f1qo,ok
2026-06-13,B,Canada,Bosnia and Herzegovina,Cyle LARIN,FW,14,1,0,2,0.21,,1,7.5,,FotMob/Opta,https://www.fotmob.com/en-GB/matches/canada-vs-bosnia-herzegovina/23f1qo,ok
2026-06-13,B,Canada,Bosnia and Herzegovina,Jonathan OSORIO,MF,1,0,0,,,0.01,0,,,FotMob/Opta,https://www.fotmob.com/en-GB/matches/canada-vs-bosnia-herzegovina/23f1qo,ok
2026-06-13,B,Bosnia and Herzegovina,Canada,Nikola VASILJ,GK,90,0,0,,,,,6.8,,FotMob/Opta,https://www.fotmob.com/en-GB/matches/canada-vs-bosnia-herzegovina/23f1qo,ok
2026-06-13,B,Bosnia and Herzegovina,Canada,Amar DEDIC,DF,90,0,0,,,0.01,0,7,,FotMob/Opta,https://www.fotmob.com/en-GB/matches/canada-vs-bosnia-herzegovina/23f1qo,ok
2026-06-13,B,Bosnia and Herzegovina,Canada,Nikola KATIC,DF,90,0,0,,,,0,8.4,,FotMob/Opta,https://www.fotmob.com/en-GB/matches/canada-vs-bosnia-herzegovina/23f1qo,ok
2026-06-13,B,Bosnia and Herzegovina,Canada,Tarik MUHAREMOVIC,DF,90,0,0,1,0.18,,0,8.3,,FotMob/Opta,https://www.fotmob.com/en-GB/matches/canada-vs-bosnia-herzegovina/23f1qo,ok
2026-06-13,B,Bosnia and Herzegovina,Canada,Sead KOLASINAC,DF,84,0,1,,,0.51,1,8,1,FotMob/Opta,https://www.fotmob.com/en-GB/matches/canada-vs-bosnia-herzegovina/23f1qo,ok
2026-06-13,B,Bosnia and Herzegovina,Canada,Esmir BAJRAKTAREVIC,FW,74,0,0,,,,0,6.3,,FotMob/Opta,https://www.fotmob.com/en-GB/matches/canada-vs-bosnia-herzegovina/23f1qo,ok
2026-06-13,B,Bosnia and Herzegovina,Canada,Ivan BASIC,MF,62,0,0,,,0.29,4,7.2,,FotMob/Opta,https://www.fotmob.com/en-GB/matches/canada-vs-bosnia-herzegovina/23f1qo,ok
2026-06-13,B,Bosnia and Herzegovina,Canada,Benjamin TAHIROVIC,MF,90,0,0,1,0.02,0.01,0,6.6,,FotMob/Opta,https://www.fotmob.com/en-GB/matches/canada-vs-bosnia-herzegovina/23f1qo,ok
2026-06-13,B,Bosnia and Herzegovina,Canada,Amar MEMIC,MF,74,0,0,1,0.05,,0,6.1,,FotMob/Opta,https://www.fotmob.com/en-GB/matches/canada-vs-bosnia-herzegovina/23f1qo,ok
2026-06-13,B,Bosnia and Herzegovina,Canada,Ermedin DEMIROVIC,FW,90,0,0,1,0.02,,0,6.6,,FotMob/Opta,https://www.fotmob.com/en-GB/matches/canada-vs-bosnia-herzegovina/23f1qo,ok
2026-06-13,B,Bosnia and Herzegovina,Canada,Jovo LUKIC,FW,62,1,0,3,0.69,,0,8,,FotMob/Opta,https://www.fotmob.com/en-GB/matches/canada-vs-bosnia-herzegovina/23f1qo,ok
2026-06-13,B,Bosnia and Herzegovina,Canada,Armin GIGOVIC,MF,28,0,0,,,0.01,0,6.9,,FotMob/Opta,https://www.fotmob.com/en-GB/matches/canada-vs-bosnia-herzegovina/23f1qo,ok
2026-06-13,B,Bosnia and Herzegovina,Canada,Dzenis BURNIC,MF,6,0,0,1,0.01,0.01,0,,,FotMob/Opta,https://www.fotmob.com/en-GB/matches/canada-vs-bosnia-herzegovina/23f1qo,ok
2026-06-13,D,USA,Paraguay,Matt FREESE,GK,90,0,0,,,,,6.2,,FotMob/Opta,https://www.fotmob.com/en-GB/matches/usa-vs-paraguay/1hr85j,ok
2026-06-13,D,USA,Paraguay,Alex FREEMAN,DF,90,0,1,,,0.04,1,8.1,,FotMob/Opta,https://www.fotmob.com/en-GB/matches/usa-vs-paraguay/1hr85j,ok
2026-06-13,D,USA,Paraguay,Chris RICHARDS,DF,90,0,0,1,0.04,0.01,0,7.2,,FotMob/Opta,https://www.fotmob.com/en-GB/matches/usa-vs-paraguay/1hr85j,ok
2026-06-13,D,USA,Paraguay,Tim REAM,DF,90,0,0,,,0.03,0,7.5,,FotMob/Opta,https://www.fotmob.com/en-GB/matches/usa-vs-paraguay/1hr85j,ok
2026-06-13,D,USA,Paraguay,Antonee ROBINSON,DF,90,0,0,,,0.06,1,7.6,,FotMob/Opta,https://www.fotmob.com/en-GB/matches/usa-vs-paraguay/1hr85j,ok
2026-06-13,D,USA,Paraguay,Tyler ADAMS,MF,90,0,0,,,0.02,1,7.7,,FotMob/Opta,https://www.fotmob.com/en-GB/matches/usa-vs-paraguay/1hr85j,ok
2026-06-13,D,USA,Paraguay,Weston MCKENNIE,MF,90,0,0,,,0.33,3,7.4,,FotMob/Opta,https://www.fotmob.com/en-GB/matches/usa-vs-paraguay/1hr85j,ok
2026-06-13,D,USA,Paraguay,Malik TILLMAN,MF,82,0,1,5,0.65,0.22,3,7.9,1,FotMob/Opta,https://www.fotmob.com/en-GB/matches/usa-vs-paraguay/1hr85j,ok
2026-06-13,D,USA,Paraguay,Sergiño DEST,DF,72,0,0,,,0.06,0,7,,FotMob/Opta,https://www.fotmob.com/en-GB/matches/usa-vs-paraguay/1hr85j,ok
2026-06-13,D,USA,Paraguay,Folarin BALOGUN,FW,72,2,0,5,0.47,0.08,0,8.8,,FotMob/Opta,https://www.fotmob.com/en-GB/matches/usa-vs-paraguay/1hr85j,ok
2026-06-13,D,USA,Paraguay,Christian PULISIC,FW,45,0,1,,,0.12,2,7.9,2,FotMob/Opta,https://www.fotmob.com/en-GB/matches/usa-vs-paraguay/1hr85j,ok
2026-06-13,D,USA,Paraguay,Sebastian BERHALTER,MF,45,0,0,1,0.02,0.12,0,6.6,,FotMob/Opta,https://www.fotmob.com/en-GB/matches/usa-vs-paraguay/1hr85j,ok
2026-06-13,D,USA,Paraguay,Timothy WEAH,MF,18,0,0,2,0.05,0.02,0,6.2,,FotMob/Opta,https://www.fotmob.com/en-GB/matches/usa-vs-paraguay/1hr85j,ok
2026-06-13,D,USA,Paraguay,Ricardo PEPI,FW,18,0,0,1,0.11,0.08,1,6,,FotMob/Opta,https://www.fotmob.com/en-GB/matches/usa-vs-paraguay/1hr85j,ok
2026-06-13,D,USA,Paraguay,Giovanni REYNA,MF,8,1,0,1,0.08,,0,,,FotMob/Opta,https://www.fotmob.com/en-GB/matches/usa-vs-paraguay/1hr85j,ok
2026-06-13,D,Paraguay,USA,Orlando GILL,GK,90,0,0,,,,,5.6,,FotMob/Opta,https://www.fotmob.com/en-GB/matches/usa-vs-paraguay/1hr85j,ok
2026-06-13,D,Paraguay,USA,Juan CÁCERES,DF,79,0,0,,,,0,6.5,,FotMob/Opta,https://www.fotmob.com/en-GB/matches/usa-vs-paraguay/1hr85j,ok
2026-06-13,D,Paraguay,USA,Gustavo GÓMEZ,DF,90,0,0,,,,0,5.2,,FotMob/Opta,https://www.fotmob.com/en-GB/matches/usa-vs-paraguay/1hr85j,ok
2026-06-13,D,Paraguay,USA,Omar ALDERETE,DF,90,0,0,,,0.03,1,5.8,,FotMob/Opta,https://www.fotmob.com/en-GB/matches/usa-vs-paraguay/1hr85j,ok
2026-06-13,D,Paraguay,USA,Júnior ALONSO,DF,90,0,0,,,,1,5.3,,FotMob/Opta,https://www.fotmob.com/en-GB/matches/usa-vs-paraguay/1hr85j,ok
