match_id,group,round,home,away,home_points,away_points,home_rank,away_rank,home_goal_difference,away_goal_difference,home_draw_acceptance,away_draw_acceptance,mutual_draw_acceptance,home_must_win_pressure,away_must_win_pressure,home_top_spot_incentive,away_top_spot_incentive,home_controlled_win_incentive,away_controlled_win_incentive,late_draw_control_index,late_chase_suppression,first_place_slot,second_place_slot,third_place_candidate_slots,bracket_path_known,context_quality,context_reason,last_updated
WC2026-E56,E,3,Ecuador,Germany,0,3,3,1,-1,6,0.1800,0.5800,0.1800,0.8000,0.0000,0.0000,0.6800,0.0000,0.5920,0.1008,0.0454,1E,2E,3E candidate for 1A; 3E candidate for 1B; 3E candidate for 1D; 3E candidate for 1G,true,B,R3 Ecuador(0pts) vs Germany(3pts).,2026-06-19
WC2026-F57,F,3,Japan,Sweden,1,3,3,1,0,4,0.1800,0.5800,0.1800,0.8000,0.0000,0.0000,0.6800,0.0000,0.5920,0.1008,0.0454,1F,2F,3F candidate for 1A; 3F candidate for 1B; 3F candidate for 1D; 3F candidate for 1E,true,B,R3 Japan(1pts) vs Sweden(3pts).,2026-06-19
WC2026-F58,F,3,Tunisia,Netherlands,0,1,4,2,-4,0,0.1800,0.1800,0.1800,0.8000,0.8000,0.0000,0.0000,0.0000,0.0000,0.1008,0.0454,1F,2F,3F candidate for 1A; 3F candidate for 1B; 3F candidate for 1D; 3F candidate for 1E,true,B,R3 Tunisia vs Netherlands: low draw acceptance; must-win pressure dominant.,2026-06-19
WC2026-D59,D,3,Turkey,USA,0,3,3,1,-2,3,0.1800,0.5800,0.1800,0.8000,0.0000,0.0000,0.8000,0.0000,0.6760,0.1008,0.0454,1D,2D,3D candidate for 1E; 3D candidate for 1I; 3D candidate for 1K,true,B,R3 Turkey(0pts) vs USA(3pts).,2026-06-19
WC2026-D60,D,3,Paraguay,Australia,0,3,4,2,-3,2,0.1800,0.5800,0.1800,0.8000,0.0000,0.0000,0.5300,0.0000,0.4870,0.1008,0.0454,1D,2D,3D candidate for 1E; 3D candidate for 1I; 3D candidate for 1K,true,B,R3 Paraguay(0pts) vs Australia(3pts).,2026-06-19
WC2026-I61,I,3,Norway,France,3,3,1,2,3,2,0.5800,0.5800,0.5800,0.0000,0.0000,0.6800,0.5300,0.5920,0.4870,0.5800,0.2610,1I,2I,3I candidate for 1A; 3I candidate for 1B; 3I candidate for 1D; 3I candidate for 1G,true,B,R3 tied on 3 pts; draw still viable for both; top spot path incentive exists.,2026-06-19
WC2026-I62,I,3,Senegal,Iraq,0,0,3,4,-2,-3,0.1800,0.1800,0.1800,0.8000,0.8000,0.0000,0.0000,0.0000,0.0000,0.1008,0.0454,1I,2I,3I candidate for 1A; 3I candidate for 1B; 3I candidate for 1D; 3I candidate for 1G,true,B,R3 Senegal vs Iraq: low draw acceptance; must-win pressure dominant.,2026-06-19
WC2026-G63,G,3,Egypt,Iran,1,1,4,1,0,0,0.1800,0.1800,0.1800,0.8000,0.8000,0.0000,0.1500,0.0000,0.0000,0.1008,0.0454,1G,2G,3G candidate for 1B; 3G candidate for 1I,true,B,R3 Egypt vs Iran: low draw acceptance; must-win pressure dominant.,2026-06-19
WC2026-G64,G,3,New Zealand,Belgium,1,1,2,3,0,0,0.1800,0.1800,0.1800,0.8000,0.8000,0.0000,0.0000,0.0000,0.0000,0.1008,0.0454,1G,2G,3G candidate for 1B; 3G candidate for 1I,true,B,R3 New Zealand vs Belgium: low draw acceptance; must-win pressure dominant.,2026-06-19
WC2026-H65,H,3,Cape Verde,Saudi Arabia,1,1,4,1,0,0,0.1800,0.1800,0.1800,0.8000,0.8000,0.0000,0.1500,0.0000,0.0000,0.1008,0.0454,1H,2H,3H candidate for 1A; 3H candidate for 1G; 3H candidate for 1I; 3H candidate for 1L,true,B,R3 Cape Verde vs Saudi Arabia: low draw acceptance; must-win pressure dominant.,2026-06-19
WC2026-H66,H,3,Uruguay,Spain,1,1,2,3,0,0,0.1800,0.1800,0.1800,0.8000,0.8000,0.0000,0.0000,0.0000,0.0000,0.1008,0.0454,1H,2H,3H candidate for 1A; 3H candidate for 1G; 3H candidate for 1I; 3H candidate for 1L,true,B,R3 Uruguay vs Spain: low draw acceptance; must-win pressure dominant.,2026-06-19
WC2026-L67,L,3,Panama,England,0,3,3,1,-1,2,0.1800,0.5800,0.1800,0.8000,0.0000,0.0000,0.6800,0.0000,0.5920,0.1008,0.0454,1L,2L,3L candidate for 1K,true,B,R3 Panama(0pts) vs England(3pts).,2026-06-19
WC2026-L68,L,3,Croatia,Ghana,0,3,4,2,-2,1,0.1800,0.5800,0.1800,0.8000,0.0000,0.0000,0.4500,0.0000,0.4310,0.1008,0.0454,1L,2L,3L candidate for 1K,true,B,R3 Croatia(0pts) vs Ghana(3pts).,2026-06-19
WC2026-J69,J,3,Algeria,Austria,0,3,4,2,-3,2,0.1800,0.5800,0.1800,0.8000,0.0000,0.0000,0.5300,0.0000,0.4870,0.1008,0.0454,1J,2J,3J candidate for 1B; 3J candidate for 1D; 3J candidate for 1G; 3J candidate for 1K,true,B,R3 Algeria(0pts) vs Austria(3pts).,2026-06-19
WC2026-J70,J,3,Jordan,Argentina,0,3,3,1,-2,3,0.1800,0.5800,0.1800,0.8000,0.0000,0.0000,0.6800,0.0000,0.5920,0.1008,0.0454,1J,2J,3J candidate for 1B; 3J candidate for 1D; 3J candidate for 1G; 3J candidate for 1K,true,B,R3 Jordan(0pts) vs Argentina(3pts).,2026-06-19
WC2026-K71,K,3,Colombia,Portugal,0,1,4,1,0,0,0.1800,0.1800,0.1800,0.8000,0.8000,0.0000,0.1500,0.0000,0.0000,0.1008,0.0454,1K,2K,3K candidate for 1L,true,B,R3 Colombia vs Portugal: low draw acceptance; must-win pressure dominant.,2026-06-19
WC2026-K72,K,3,DR Congo,Uzbekistan,1,0,2,3,0,0,0.1800,0.1800,0.1800,0.8000,0.8000,0.0000,0.0000,0.0000,0.0000,0.1008,0.0454,1K,2K,3K candidate for 1L,true,B,R3 DR Congo vs Uzbekistan: low draw acceptance; must-win pressure dominant.,2026-06-19
