internal_match_id,fifa_match_id,group,round,home_team,away_team,kickoff_utc,kickoff_local,kickoff_et,kickoff_time,source_url
WC2026-B51,51,B,3,Switzerland,Canada,2026-06-24T19:00:00Z,2026-06-24 12:00,2026-06-24 15:00,2026-06-24 12:00,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
WC2026-B52,52,B,3,Bosnia and Herzegovina,Qatar,2026-06-24T19:00:00Z,2026-06-24 12:00,2026-06-24 15:00,2026-06-24 12:00,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
WC2026-A53,53,A,3,Czechia,Mexico,2026-06-25T01:00:00Z,2026-06-24 19:00,2026-06-24 21:00,2026-06-24 19:00,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
WC2026-A54,54,A,3,South Africa,South Korea,2026-06-25T01:00:00Z,2026-06-24 19:00,2026-06-24 21:00,2026-06-24 19:00,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
WC2026-E55,55,E,3,Curacao,Ivory Coast,2026-06-25T20:00:00Z,2026-06-25 16:00,2026-06-25 16:00,2026-06-25 16:00,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
WC2026-E56,56,E,3,Ecuador,Germany,2026-06-25T20:00:00Z,2026-06-25 16:00,2026-06-25 16:00,2026-06-25 16:00,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
WC2026-F57,57,F,3,Japan,Sweden,2026-06-25T23:00:00Z,2026-06-25 18:00,2026-06-25 19:00,2026-06-25 18:00,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
WC2026-F58,58,F,3,Tunisia,Netherlands,2026-06-25T23:00:00Z,2026-06-25 18:00,2026-06-25 19:00,2026-06-25 18:00,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
WC2026-D59,59,D,3,Turkey,USA,2026-06-26T02:00:00Z,2026-06-25 19:00,2026-06-25 22:00,2026-06-25 19:00,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
WC2026-D60,60,D,3,Paraguay,Australia,2026-06-26T02:00:00Z,2026-06-25 19:00,2026-06-25 22:00,2026-06-25 19:00,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
WC2026-I61,61,I,3,Norway,France,2026-06-26T19:00:00Z,2026-06-26 15:00,2026-06-26 15:00,2026-06-26 15:00,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
WC2026-I62,62,I,3,Senegal,Iraq,2026-06-26T19:00:00Z,2026-06-26 15:00,2026-06-26 15:00,2026-06-26 15:00,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
WC2026-G63,63,G,3,Egypt,Iran,2026-06-27T03:00:00Z,2026-06-26 20:00,2026-06-26 23:00,2026-06-26 20:00,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
WC2026-G64,64,G,3,New Zealand,Belgium,2026-06-27T03:00:00Z,2026-06-26 20:00,2026-06-26 23:00,2026-06-26 20:00,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
WC2026-H65,65,H,3,Cape Verde,Saudi Arabia,2026-06-27T00:00:00Z,2026-06-26 19:00,2026-06-26 20:00,2026-06-26 19:00,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
WC2026-H66,66,H,3,Uruguay,Spain,2026-06-27T00:00:00Z,2026-06-26 18:00,2026-06-26 20:00,2026-06-26 18:00,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
WC2026-L67,67,L,3,Panama,England,2026-06-27T21:00:00Z,2026-06-27 17:00,2026-06-27 17:00,2026-06-27 17:00,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
WC2026-L68,68,L,3,Croatia,Ghana,2026-06-27T21:00:00Z,2026-06-27 17:00,2026-06-27 17:00,2026-06-27 17:00,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
WC2026-J69,69,J,3,Algeria,Austria,2026-06-28T02:00:00Z,2026-06-27 21:00,2026-06-27 22:00,2026-06-27 21:00,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
WC2026-J70,70,J,3,Jordan,Argentina,2026-06-28T02:00:00Z,2026-06-27 21:00,2026-06-27 22:00,2026-06-27 21:00,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
WC2026-K71,71,K,3,Colombia,Portugal,2026-06-27T23:30:00Z,2026-06-27 19:30,2026-06-27 19:30,2026-06-27 19:30,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
WC2026-K72,72,K,3,DR Congo,Uzbekistan,2026-06-27T23:30:00Z,2026-06-27 19:30,2026-06-27 19:30,2026-06-27 19:30,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
