match_id,home_team,away_team,group_pressure_home,group_pressure_away,pressure_type_home,pressure_type_away,state_reason_code_home,state_reason_code_away,runtime_incentive_used,home_route_preference_label,away_route_preference_label,home_first_place_utility,away_first_place_utility,home_second_place_utility,away_second_place_utility,home_draw_acceptance_modifier,away_draw_acceptance_modifier,home_late_push_modifier,away_late_push_modifier,home_rotation_modifier,away_rotation_modifier,draw_utility_home,draw_utility_away,attack_conversion_home,attack_conversion_away,must_win_no_convert_home,must_win_no_convert_away,early_goal_cascade_index,cascade_tail_active,favorite,underdog,cold_draw_guard_score,cold_guard_active,deep_handicap_contra_flag,data_quality_score,data_quality_grade,active_flags
WC2026-B52,Bosnia and Herzegovina,Qatar,0.5164,0.5496,must_win,must_win,MUST_WIN_SURVIVAL,MUST_WIN_SURVIVAL,false,,,,,,,,,,,,,0.1,0.1,0.3581,0.3511,true,true,0.4568,false,Bosnia and Herzegovina,Qatar,0.5234,false,false,0.5,degraded,must_win_no_convert_home;must_win_no_convert_away
WC2026-A53,Czechia,Mexico,0.4929,0.0425,must_win,draw_ok,MUST_WIN_SURVIVAL,QUALIFICATION_SECURE_ROUTE_OPT_ALLOWED,false,,,,,,,,,,,,,0.1,0.75,0.3478,0.3406,true,false,0.388,false,Czechia,Mexico,0.5579,false,false,0.5,degraded,must_win_no_convert_home
WC2026-A54,South Africa,South Korea,0.5187,0.162,must_win,low_pressure,MUST_WIN_SURVIVAL,R2_THREE_POINTS_DRAW_TO_FOUR,false,,,,,,,,,,,,,0.1,0.45,0.3006,0.325,true,false,0.4835,false,South Korea,South Africa,0.53,false,false,0.5,degraded,must_win_no_convert_home
WC2026-E55,Curacao,Ivory Coast,0.5195,0.1628,must_win,low_pressure,MUST_WIN_SURVIVAL,R2_THREE_POINTS_DRAW_TO_FOUR,false,,,,,,,,,,,,,0.1,0.45,0.3203,0.354,true,false,0.4952,false,Ivory Coast,Curacao,0.5242,false,false,0.5,degraded,must_win_no_convert_home
WC2026-E56,Ecuador,Germany,0.4929,0.0425,must_win,draw_ok,MUST_WIN_SURVIVAL,QUALIFICATION_SECURE_ROUTE_OPT_ALLOWED,false,,,,,,,,,,,,,0.1,0.75,0.2459,0.3879,true,false,0.5425,false,Germany,Ecuador,0.5174,false,false,0.5,degraded,must_win_no_convert_home
WC2026-F57,Japan,Sweden,0.1394,0.2592,draw_ok,low_pressure,FOUR_POINTS_NOT_CLINCHED,R3_BEST_THIRD_GD_CHASE,false,,,,,,,,,,,,,0.55,0.25,0.3276,0.3514,false,false,0.475,false,Japan,Sweden,0.537,false,false,0.5,degraded,
WC2026-F58,Tunisia,Netherlands,0.2725,0,low_pressure,draw_ok,ELIMINATED_ALL_SCENARIOS,QUALIFICATION_SECURE_ROUTE_OPT_ALLOWED,false,,,,,,,,,,,,,0.3,0.75,0.3059,0.3381,false,false,0.4475,false,Netherlands,Tunisia,0.5374,false,false,0.5,degraded,
WC2026-D59,Turkey,USA,0.6047,0.0425,must_win,draw_ok,R2_ZERO_POINTS_SURVIVAL,QUALIFICATION_SECURE_ROUTE_OPT_ALLOWED,false,,,,,,,,,,,,,0.1,0.75,0.3402,0.3408,true,false,0.4248,false,Turkey,USA,0.5595,false,false,0.5,degraded,must_win_no_convert_home
WC2026-D60,Paraguay,Australia,0.3256,0.0714,prefer_win,low_pressure,R3_BEST_THIRD_GD_CHASE,R2_THREE_POINTS_DRAW_TO_FOUR,false,,,,,,,,,,,,,0.25,0.45,0.2806,0.2712,false,false,0.5239,false,Paraguay,Australia,0.4637,false,false,0.6,low,
WC2026-I61,Norway,France,0,0,draw_ok,draw_ok,QUALIFICATION_SECURE_ROUTE_OPT_ALLOWED,QUALIFICATION_SECURE_ROUTE_OPT_ALLOWED,false,,,,,,,,,,,,,0.75,0.75,0.4218,0.391,false,false,0.4036,false,France,Norway,0.5493,false,false,0.5,degraded,
