match_id,team,opponent,points_before,gd_before,rank_before,win_necessity,draw_utility,loss_damage,first_place_incentive,second_place_safety,third_place_safety,opponent_path_risk,group_pressure_index,pressure_type,state_reason_code,p_finish_1,p_finish_2,p_finish_3,p_finish_4,p_top2,p_best8_third,p_advance
WC2026-F35,Netherlands,Sweden,1,0,3,0.7325,0.1,0.574,0.1481,0.4321,0.2439,0.45,0.4727,must_win,MUST_WIN_SURVIVAL,0.1481,0.284,0.321,0.2469,0.4321,0.2439,0.676
WC2026-F35,Sweden,Netherlands,3,4,1,0.55,0.3,0.3167,0.6049,0.8395,0.0938,0.45,0.3577,prefer_win,CONTROL_DESTINY,0.6049,0.2346,0.1235,0.037,0.8395,0.0938,0.9333
WC2026-F36,Tunisia,Japan,0,-4,4,0.855,0.1,0.9596,0.0741,0.1111,0.1793,0.45,0.6095,must_win,R2_ZERO_POINTS_SURVIVAL,0.0741,0.037,0.2963,0.5926,0.1111,0.1793,0.2904
WC2026-F36,Japan,Tunisia,1,0,3,0.7325,0.1,0.6633,0.1481,0.4074,0.1793,0.45,0.4951,must_win,MUST_WIN_SURVIVAL,0.1481,0.2593,0.2963,0.2963,0.4074,0.1793,0.5867
WC2026-H37,Uruguay,Cape Verde,1,0,1,0.35,0.3,0.5191,0.3704,0.6296,0.1013,0.45,0.2714,low_pressure,OPEN_GROUP_TIED_ON_ONE,0.3704,0.2593,0.1481,0.2222,0.6296,0.1013,0.7309
WC2026-H37,Cape Verde,Uruguay,1,0,4,0.35,0.3,0.5677,0.2963,0.5556,0.1267,0.45,0.2687,low_pressure,OPEN_GROUP_TIED_ON_ONE,0.2963,0.2593,0.1852,0.2593,0.5556,0.1267,0.6823
WC2026-H38,Spain,Saudi Arabia,1,0,3,0.35,0.3,0.6022,0.2346,0.4198,0.228,0.45,0.265,low_pressure,OPEN_GROUP_TIED_ON_ONE,0.2346,0.1852,0.3333,0.2469,0.4198,0.228,0.6478
WC2026-H38,Saudi Arabia,Spain,1,0,2,0.35,0.3,0.5431,0.2469,0.5802,0.1267,0.45,0.2527,low_pressure,OPEN_GROUP_TIED_ON_ONE,0.2469,0.3333,0.1852,0.2346,0.5802,0.1267,0.7069
WC2026-G39,Belgium,Iran,1,0,3,0.35,0.3,0.6022,0.2346,0.4198,0.228,0.45,0.265,low_pressure,OPEN_GROUP_TIED_ON_ONE,0.2346,0.1852,0.3333,0.2469,0.4198,0.228,0.6478
WC2026-G39,Iran,Belgium,1,0,2,0.35,0.3,0.5431,0.2469,0.5802,0.1267,0.45,0.2527,low_pressure,OPEN_GROUP_TIED_ON_ONE,0.2469,0.3333,0.1852,0.2346,0.5802,0.1267,0.7069
WC2026-G40,New Zealand,Egypt,1,0,1,0.35,0.3,0.5191,0.3704,0.6296,0.1013,0.45,0.2714,low_pressure,OPEN_GROUP_TIED_ON_ONE,0.3704,0.2593,0.1481,0.2222,0.6296,0.1013,0.7309
WC2026-G40,Egypt,New Zealand,1,0,4,0.35,0.3,0.5677,0.2963,0.5556,0.1267,0.45,0.2687,low_pressure,OPEN_GROUP_TIED_ON_ONE,0.2963,0.2593,0.1852,0.2593,0.5556,0.1267,0.6823
WC2026-I41,Norway,Senegal,3,3,1,0.55,0.3,0.0302,0.7407,0.9259,0.0439,0.45,0.3132,prefer_win,CONTROL_DESTINY,0.7407,0.1852,0.0741,0,0.9259,0.0439,0.9698
WC2026-I41,Senegal,Norway,0,-2,3,0.7325,0.1,0.7646,0.037,0.2222,0.2632,0.45,0.4982,must_win,R2_ZERO_POINTS_SURVIVAL,0.037,0.1852,0.4444,0.3333,0.2222,0.2632,0.4854
WC2026-I42,France,Iraq,3,2,2,0.42,0.45,0.3266,0.3951,0.8395,0.0839,0.45,0.2147,low_pressure,R2_THREE_POINTS_DRAW_TO_FOUR,0.3951,0.4444,0.1481,0.0123,0.8395,0.0839,0.9234
WC2026-I42,Iraq,France,0,-3,4,0.855,0.1,0.9463,0.0247,0.1358,0.1679,0.45,0.5963,must_win,R2_ZERO_POINTS_SURVIVAL,0.0247,0.1111,0.2963,0.5679,0.1358,0.1679,0.3037
WC2026-J43,Argentina,Austria,3,3,1,0.55,0.3,0.3096,0.5556,0.8642,0.0762,0.45,0.346,prefer_win,CONTROL_DESTINY,0.5556,0.3086,0.1235,0.0123,0.8642,0.0762,0.9404
WC2026-J43,Austria,Argentina,3,2,2,0.42,0.45,0.3191,0.3951,0.8395,0.0914,0.45,0.2128,low_pressure,R2_THREE_POINTS_DRAW_TO_FOUR,0.3951,0.4444,0.1481,0.0123,0.8395,0.0914,0.9309
WC2026-J44,Jordan,Algeria,0,-2,3,0.7325,0.1,0.8176,0.1111,0.2593,0.1731,0.45,0.5262,must_win,R2_ZERO_POINTS_SURVIVAL,0.1111,0.1481,0.3333,0.4074,0.2593,0.1731,0.4324
WC2026-J44,Algeria,Jordan,0,-3,4,0.855,0.1,0.8945,0.0741,0.2593,0.0962,0.45,0.5932,must_win,R2_ZERO_POINTS_SURVIVAL,0.0741,0.1852,0.1852,0.5556,0.2593,0.0962,0.3555
WC2026-L45,England,Ghana,3,2,1,0.55,0.3,0.3074,0.5556,0.8642,0.0784,0.45,0.3455,prefer_win,CONTROL_DESTINY,0.5556,0.3086,0.1235,0.0123,0.8642,0.0784,0.9426
WC2026-L45,Ghana,England,3,1,2,0.42,0.45,0.3165,0.3951,0.8395,0.094,0.45,0.2121,low_pressure,R2_THREE_POINTS_DRAW_TO_FOUR,0.3951,0.4444,0.1481,0.0123,0.8395,0.094,0.9335
WC2026-L46,Panama,Croatia,0,-1,3,0.7325,0.1,0.8061,0.1111,0.2593,0.1846,0.45,0.5234,must_win,R2_ZERO_POINTS_SURVIVAL,0.1111,0.1481,0.3333,0.4074,0.2593,0.1846,0.4439
WC2026-L46,Croatia,Panama,0,-2,4,0.7325,0.1,0.8881,0.0741,0.2593,0.1026,0.45,0.5365,must_win,R2_ZERO_POINTS_SURVIVAL,0.0741,0.1852,0.1852,0.5556,0.2593,0.1026,0.3619
WC2026-K47,Portugal,Uzbekistan,1,0,3,0.7325,0.1,0.6169,0.1481,0.4321,0.201,0.45,0.4835,must_win,MUST_WIN_SURVIVAL,0.1481,0.284,0.321,0.2469,0.4321,0.201,0.6331
WC2026-K47,Uzbekistan,Portugal,0,-2,4,0.7325,0.1,0.87,0.0494,0.2099,0.1701,0.45,0.527,must_win,R2_ZERO_POINTS_SURVIVAL,0.0494,0.1605,0.2716,0.5185,0.2099,0.1701,0.38
WC2026-K48,Colombia,DR Congo,3,2,1,0.55,0.3,0.0334,0.7407,0.8889,0.0777,0.45,0.314,prefer_win,CONTROL_DESTINY,0.7407,0.1481,0.1111,0,0.8889,0.0777,0.9666
WC2026-K48,DR Congo,Colombia,1,0,2,0.7325,0.1,0.4908,0.2222,0.6296,0.1296,0.45,0.4668,must_win,MUST_WIN_SURVIVAL,0.2222,0.4074,0.1852,0.1852,0.6296,0.1296,0.7592
WC2026-C49,Scotland,Brazil,3,0,3,0.5875,0.25,0.1095,0.2222,0.3333,0.5572,0.45,0.2612,low_pressure,R3_BEST_THIRD_GD_CHASE,0.2222,0.1111,0.6667,0,0.3333,0.5572,0.8905
WC2026-C49,Brazil,Scotland,4,3,1,0.5,0.55,0.0365,0.5556,0.7778,0.1857,0.45,0.1802,draw_ok,FOUR_POINTS_NOT_CLINCHED,0.5556,0.2222,0.2222,0,0.7778,0.1857,0.9635
WC2026-C50,Morocco,Haiti,4,1,2,0.5,0.55,0.0201,0.2222,0.8889,0.091,0.45,0.1095,draw_ok,FOUR_POINTS_NOT_CLINCHED,0.2222,0.6667,0.1111,0,0.8889,0.091,0.9799
WC2026-C50,Haiti,Morocco,0,-4,4,0.25,0.3,1,0,0,0,0.45,0.2725,low_pressure,ELIMINATED_ALL_SCENARIOS,0,0,0,1,0,0,0
WC2026-B51,Switzerland,Canada,4,3,2,0.15,0.75,0,0.3333,1,0,0.45,0,draw_ok,QUALIFICATION_SECURE_ROUTE_OPT_ALLOWED,0.3333,0.6667,0,0,1,0,1
WC2026-B51,Canada,Switzerland,4,6,1,0.15,0.75,0,0.6667,1,0,0.45,0,draw_ok,QUALIFICATION_SECURE_ROUTE_OPT_ALLOWED,0.6667,0.3333,0,0,1,0,1
