match_id,team,opponent,break_low_block_score,chance_quality_score,xg_per_shot,shot_on_target_rate,big_chances_per_90,set_piece_threat,central_target_presence,wide_cross_dependency,opponent_low_block_score,opponent_keeper_proxy,attack_conversion_gate,must_win_no_convert_flag
WC2026-E56,Germany,Ecuador,0.5,0.3246,0.3246,0.35,3,0.5,0.45,0.5,0.7,0.8391,0.3879,false
WC2026-F57,Japan,Sweden,0.5,0.118,0.118,0.35,0,0.5,0.45,0.5,0.7,0.8067,0.3276,false
WC2026-F57,Sweden,Japan,0.5,0.2046,0.2046,0.3492,2,0.5,0.45,0.5,0.7,0.8505,0.3514,false
WC2026-F58,Tunisia,Netherlands,0.5,0.0933,0.0933,0.35,0,0.5,0.45,0.5,0.7,0.7586,0.3059,false
WC2026-F58,Netherlands,Tunisia,0.5,0.156,0.156,0.35,0,0.5,0.45,0.5,0.7,0.8234,0.3381,false
WC2026-D59,Turkey,USA,0.943,0.1139,0.1139,0.35,1,0.5,0.45,0.5,0.7,0.7438,0.3402,true
WC2026-D59,USA,Turkey,0.5,0.1923,0.1923,0.35,2,0.5,0.45,0.5,0.8732,0.8152,0.3408,false
WC2026-D60,Paraguay,Australia,0.198,0.1075,0.1075,0.35,0.5,0.5,0.45,0.5,0.4,0.4724,0.2806,false
WC2026-D60,Australia,Paraguay,0.057,0.2186,0.2186,0.35,0.5,0.5,0.45,0.5,0.4,0.6224,0.2712,false
WC2026-I61,Norway,France,0.5,0.42,0.42,0.35,5,0.5,0.45,0.5,0.7,0.735,0.4218,false
WC2026-I61,France,Norway,0.5,0.3255,0.3255,0.35,4,0.5,0.45,0.5,0.7,0.7823,0.391,false
WC2026-I62,Senegal,Iraq,0.5,0.1767,0.1767,0.35,2,0.5,0.45,0.5,0.7,0.5617,0.3574,true
WC2026-I62,Iraq,Senegal,0.5,0.1455,0.1455,0.35,1,0.5,0.45,0.5,0.7,0.525,0.3499,true
WC2026-G63,Egypt,Iran,0.5,0.1543,0.1543,0.35,2,0.5,0.45,0.5,0.7,0.6388,0.324,false
WC2026-G63,Iran,Egypt,0.5,0.1765,0.1765,0.35,2,0.5,0.45,0.5,0.7,0.658,0.3525,false
WC2026-G64,New Zealand,Belgium,0.5,0.1771,0.1771,0.35,2,0.5,0.45,0.5,0.7,0.6125,0.355,false
WC2026-G64,Belgium,New Zealand,0.5,0.18,0.18,0.35,2,0.5,0.45,0.5,0.7,0.686,0.3139,false
WC2026-H65,Cape Verde,Saudi Arabia,0.5,0.0667,0.0667,0.35,1,0.5,0.45,0.5,0.7,0.525,0.2263,false
WC2026-H65,Saudi Arabia,Cape Verde,0.5,0.1886,0.1886,0.35,1,0.5,0.45,0.5,0.7,0.574,0.3604,false
WC2026-H66,Uruguay,Spain,0.5,0.1274,0.1274,0.35,2,0.5,0.45,0.5,0.7,0.7595,0.2812,false
WC2026-H66,Spain,Uruguay,0.5,0.1556,0.1556,0.35,2,0.5,0.45,0.5,0.7,0.84,0.2372,false
WC2026-L67,Panama,England,0.5,0.1364,0.1364,0.35,2,0.5,0.45,0.5,0.7,0.6458,0.2411,true
WC2026-L67,England,Panama,0.5,0.2909,0.2909,0.35,7,0.5,0.45,0.5,0.7,0.7525,0.3821,false
WC2026-L68,Croatia,Ghana,0.5,0.14,0.14,0.35,2,0.5,0.45,0.5,0.7,0.525,0.3483,true
WC2026-L68,Ghana,Croatia,0.5,0.3275,0.3275,0.35,1,0.5,0.45,0.5,0.7,0.7438,0.3572,false
WC2026-J69,Algeria,Austria,0.5,0.0914,0.0914,0.35,0,0.5,0.45,0.5,0.7,0.6545,0.2272,true
WC2026-J69,Austria,Algeria,0.5,0.3073,0.3073,0.35,4,0.5,0.45,0.5,0.7,0.7945,0.385,false
WC2026-J70,Jordan,Argentina,0.5,0.0836,0.0836,0.35,0,0.5,0.45,0.5,0.7,0.5793,0.3286,true
WC2026-J70,Argentina,Jordan,0.5,0.252,0.252,0.35,1,0.5,0.45,0.5,0.7,0.819,0.3672,false
WC2026-K71,Colombia,Portugal,0.5,0.216,0.216,0.35,1,0.5,0.45,0.5,0.7,0.672,0.3637,false
WC2026-K71,Portugal,Colombia,0.5,0.1857,0.1857,0.35,0,0.5,0.45,0.5,0.7,0.7228,0.3521,true
WC2026-K72,DR Congo,Uzbekistan,0.5,0.2175,0.2175,0.35,1,0.5,0.45,0.5,0.7,0.7612,0.3555,true
WC2026-K72,Uzbekistan,DR Congo,0.5,0.29,0.29,0.35,4,0.5,0.45,0.5,0.7,0.5915,0.3618,true
