matchNumStr,matchKey,matchDate,homeTeam,awayTeam,homeTeamEn,awayTeamEn,homeTeamCode,awayTeamCode,homeTeamOddsName,awayTeamOddsName,score,code,sp
周日040,,2026-06-22,新西兰,埃及,新西兰,埃及,,,新西兰,埃及,2:1,s02s01,17.00
周日040,,2026-06-22,新西兰,埃及,新西兰,埃及,,,新西兰,埃及,2:2,s02s02,17.00
周日040,,2026-06-22,新西兰,埃及,新西兰,埃及,,,新西兰,埃及,2:3,s02s03,30.00
周日040,,2026-06-22,新西兰,埃及,新西兰,埃及,,,新西兰,埃及,2:4,s02s04,60.00
周日040,,2026-06-22,新西兰,埃及,新西兰,埃及,,,新西兰,埃及,2:5,s02s05,125.0
周日040,,2026-06-22,新西兰,埃及,新西兰,埃及,,,新西兰,埃及,3:0,s03s00,100.0
周日040,,2026-06-22,新西兰,埃及,新西兰,埃及,,,新西兰,埃及,3:1,s03s01,70.00
周日040,,2026-06-22,新西兰,埃及,新西兰,埃及,,,新西兰,埃及,3:2,s03s02,70.00
周日040,,2026-06-22,新西兰,埃及,新西兰,埃及,,,新西兰,埃及,3:3,s03s03,65.00
周日040,,2026-06-22,新西兰,埃及,新西兰,埃及,,,新西兰,埃及,4:0,s04s00,400.0
周日040,,2026-06-22,新西兰,埃及,新西兰,埃及,,,新西兰,埃及,4:1,s04s01,250.0
周日040,,2026-06-22,新西兰,埃及,新西兰,埃及,,,新西兰,埃及,4:2,s04s02,250.0
周日040,,2026-06-22,新西兰,埃及,新西兰,埃及,,,新西兰,埃及,5:0,s05s00,700.0
周日040,,2026-06-22,新西兰,埃及,新西兰,埃及,,,新西兰,埃及,5:1,s05s01,500.0
周日040,,2026-06-22,新西兰,埃及,新西兰,埃及,,,新西兰,埃及,5:2,s05s02,700.0
周日040,,2026-06-22,新西兰,埃及,新西兰,埃及,,,新西兰,埃及,负其他,s1sa,50.00
周日040,,2026-06-22,新西兰,埃及,新西兰,埃及,,,新西兰,埃及,平其他,s1sd,350.0
周日040,,2026-06-22,新西兰,埃及,新西兰,埃及,,,新西兰,埃及,胜其他,s1sh,350.0
周一041,ARG-AUT,2026-06-23,阿根廷,奥地利,Argentina,Austria,ARG,AUT,阿根廷,奥地利,0:0,s00s00,11.00
周一041,ARG-AUT,2026-06-23,阿根廷,奥地利,Argentina,Austria,ARG,AUT,阿根廷,奥地利,0:1,s00s01,12.50
周一041,ARG-AUT,2026-06-23,阿根廷,奥地利,Argentina,Austria,ARG,AUT,阿根廷,奥地利,0:2,s00s02,30.00
周一041,ARG-AUT,2026-06-23,阿根廷,奥地利,Argentina,Austria,ARG,AUT,阿根廷,奥地利,0:3,s00s03,100.0
周一041,ARG-AUT,2026-06-23,阿根廷,奥地利,Argentina,Austria,ARG,AUT,阿根廷,奥地利,0:4,s00s04,350.0
周一041,ARG-AUT,2026-06-23,阿根廷,奥地利,Argentina,Austria,ARG,AUT,阿根廷,奥地利,0:5,s00s05,900.0
周一041,ARG-AUT,2026-06-23,阿根廷,奥地利,Argentina,Austria,ARG,AUT,阿根廷,奥地利,1:0,s01s00,6.00
周一041,ARG-AUT,2026-06-23,阿根廷,奥地利,Argentina,Austria,ARG,AUT,阿根廷,奥地利,1:1,s01s01,6.50
周一041,ARG-AUT,2026-06-23,阿根廷,奥地利,Argentina,Austria,ARG,AUT,阿根廷,奥地利,1:2,s01s02,14.50
周一041,ARG-AUT,2026-06-23,阿根廷,奥地利,Argentina,Austria,ARG,AUT,阿根廷,奥地利,1:3,s01s03,60.00
周一041,ARG-AUT,2026-06-23,阿根廷,奥地利,Argentina,Austria,ARG,AUT,阿根廷,奥地利,1:4,s01s04,200.0
周一041,ARG-AUT,2026-06-23,阿根廷,奥地利,Argentina,Austria,ARG,AUT,阿根廷,奥地利,1:5,s01s05,700.0
周一041,ARG-AUT,2026-06-23,阿根廷,奥地利,Argentina,Austria,ARG,AUT,阿根廷,奥地利,2:0,s02s00,6.50
周一041,ARG-AUT,2026-06-23,阿根廷,奥地利,Argentina,Austria,ARG,AUT,阿根廷,奥地利,2:1,s02s01,6.50
周一041,ARG-AUT,2026-06-23,阿根廷,奥地利,Argentina,Austria,ARG,AUT,阿根廷,奥地利,2:2,s02s02,14.50
周一041,ARG-AUT,2026-06-23,阿根廷,奥地利,Argentina,Austria,ARG,AUT,阿根廷,奥地利,2:3,s02s03,60.00
周一041,ARG-AUT,2026-06-23,阿根廷,奥地利,Argentina,Austria,ARG,AUT,阿根廷,奥地利,2:4,s02s04,250.0
周一041,ARG-AUT,2026-06-23,阿根廷,奥地利,Argentina,Austria,ARG,AUT,阿根廷,奥地利,2:5,s02s05,600.0
周一041,ARG-AUT,2026-06-23,阿根廷,奥地利,Argentina,Austria,ARG,AUT,阿根廷,奥地利,3:0,s03s00,11.50
